team_name,team_abbreviation,season_name,date_time_utc,goals_for,goals_against,xgoals_for,xgoals_against,knockout_game
OL Reign,RGN,2022,2022-07-17 23:00:00 UTC,0,1,1.4377,2.325,False
Chicago Red Stars,CHI,2021,2021-11-14 22:30:00 UTC,2,0,0.24750000000000003,1.0273,True
Portland Thorns FC,POR,2021,2021-11-14 22:30:00 UTC,0,2,1.0273,0.24750000000000003,True
Kansas City Current,KC,2022,2022-08-07 21:00:00 UTC,2,1,2.1747,0.5331,False
San Diego Wave FC,SD,2022,2022-08-07 21:00:00 UTC,1,2,0.5331,2.1747,False
Washington Spirit,WAS,2022,2022-06-04 23:00:00 UTC,0,1,0.46230000000000004,2.0935,False
NJ/NY Gotham FC,NJY,2022,2022-06-04 23:00:00 UTC,1,0,2.0935,0.46230000000000004,False
San Diego Wave FC,SD,2022,2022-04-24 02:00:00 UTC,1,1,1.162,0.6866,False
OL Reign,RGN,2022,2022-04-24 02:00:00 UTC,1,1,0.6866,1.162,False
Washington Spirit,WAS,2019,2019-04-21 01:00:00 UTC,0,1,0.5247,1.1445,False
Utah Royals FC,UTA,2019,2019-04-21 01:00:00 UTC,1,0,1.1445,0.5247,False
Houston Dash,HOU,2019,2019-10-13 01:00:00 UTC,1,2,0.3844,2.6995,False
Utah Royals FC,UTA,2019,2019-10-13 01:00:00 UTC,2,1,2.6995,0.3844,False
Houston Dash,HOU,2019,2019-07-14 01:00:00 UTC,0,1,0.6314000000000001,0.2891,False
Chicago Red Stars,CHI,2019,2019-07-14 01:00:00 UTC,1,0,0.2891,0.6314000000000001,False
Chicago Red Stars,CHI,2016,2016-06-12 22:00:00 UTC,1,1,0.7298,0.8945000000000001,False
Portland Thorns FC,POR,2016,2016-06-12 22:00:00 UTC,1,1,0.8945000000000001,0.7298,False
Houston Dash,HOU,2016,2016-09-04 00:30:00 UTC,4,2,1.6480000000000001,0.4248,False
Orlando Pride,ORL,2016,2016-09-04 00:30:00 UTC,2,4,0.4248,1.6480000000000001,False
Boston Breakers,BOS,2017,2017-08-26 23:00:00 UTC,0,1,0.6742,1.1403,False
NJ/NY Gotham FC,NJY,2017,2017-08-26 23:00:00 UTC,1,0,1.1403,0.6742,False
Houston Dash,HOU,2017,2017-05-27 20:00:00 UTC,0,1,2.3058,0.6869000000000001,False
OL Reign,RGN,2017,2017-05-27 20:00:00 UTC,1,0,0.6869000000000001,2.3058,False
Portland Thorns FC,POR,2021,2021-07-11 19:00:00 UTC,0,0,2.2786,0.4988,False
NJ/NY Gotham FC,NJY,2021,2021-07-11 19:00:00 UTC,0,0,0.4988,2.2786,False
OL Reign,RGN,2021,2021-10-14 02:30:00 UTC,1,1,1.5466,1.4222000000000001,False
Portland Thorns FC,POR,2021,2021-10-14 02:30:00 UTC,1,1,1.4222000000000001,1.5466,False
