p1,p2,combos,p1g,p1a,p2g,p2a,p1g_p2a,p2g_p1a,goals
Becky Sauerbrunn,Alexa Newfield,1,4,3,2,2,1,0,6
Tara McKeown,Tori Huster,1,4,4,2,6,0,1,6
Savannah Marie DeMelo,Gemma Bonner,1,4,2,2,0,0,1,6
Jennifer Vasconcelos,Brooke Elby,1,4,3,2,1,0,1,6
Danielle Colaprico,Taylor Comeau,1,4,11,2,3,0,1,6
Ella Stevens,Sarah Griffith,1,4,2,2,1,1,0,6
Ella Stevens,Sarah Luebbert,1,4,2,2,3,0,1,6
Emina Ekic,Gemma Bonner,1,4,2,2,0,0,1,6
Cari Roccaro,Paige Nielsen,1,4,2,2,1,1,0,6
Cari Roccaro,Ali Riley,1,4,2,2,3,1,0,6
Olivia Lynn Moultrie,Yazmeen Ryan,1,3,5,3,5,1,0,6
Yazmeen Ryan,Taylor Porter,1,3,5,3,0,0,1,6
Jordan Baggett,Amy Harrison,1,5,1,0,2,1,0,5
Camila,Jamia Fields,1,5,5,0,2,1,0,5
Maegan Rosa,Desiree Scott,1,5,1,0,2,1,0,5
Leah Galton,Erin Simon,1,5,5,0,3,1,0,5
Natasha Kai,Taylor Lytle,1,4,1,1,9,1,0,5
Meggie Dougherty Howard,Abi Kim,1,4,6,1,2,0,1,5
Meredith Speck,Carson Pickett,1,4,7,1,16,0,1,5
Toni Pressley,Carson Pickett,1,4,1,1,16,1,0,5
Sam Staab,Taylor Aylmer,1,4,4,1,1,1,0,5
Maria Sánchez,Ally Prisock,1,4,7,1,0,0,1,5
Jaelene Daniels,Michaela Hahn,1,4,18,1,1,0,1,5
Crystal Thomas,Jessie Scarpa,1,4,2,1,0,0,1,5
Emina Ekic,Emily Fox,1,4,2,1,2,1,0,5
Celia,Lauren Barnes,1,4,2,1,4,1,0,5
Tiffany McCarty,Frances Silva,1,3,4,2,0,0,1,5
Amirah Ali,Belle Briede,1,3,1,2,1,1,0,5
Kaleigh Kurtz,Brianna Pinto,1,3,2,2,2,1,0,5
Claire Emslie,Ali Riley,1,3,1,2,3,1,0,5
Danielle Weatherholt,Shirley Iveth Cruz,1,3,2,2,4,0,1,5
Savannah Marie DeMelo,Shuang Wang,1,4,2,0,1,1,0,4
Sarah Hagen,Camille Levin,1,4,2,0,1,1,0,4
Amandine Henry,Meghan Klingenberg,1,4,1,0,21,1,0,4
Elizabeth Eddy,Kenie Wright,1,4,4,0,1,1,0,4
Maria Sánchez,Natalie Ann Jacobs,1,4,7,0,5,1,0,4
Olivia Lynn Moultrie,Natalia Kuikka,1,3,5,1,4,0,1,4
Rumi Utsugi,Lindsay Elston,1,3,3,1,1,1,0,4
Rumi Utsugi,Steph Catley,1,3,3,1,8,1,0,4
Jaedyn Reese Shaw,Emily van Egmond,1,3,0,1,4,1,0,4
Jaedyn Reese Shaw,Sofia Jakobsson,1,3,0,1,4,1,0,4
Julie King,Louise Schillgard,1,3,1,1,2,1,0,4
Kirsten Davis,Jaelin Howell,1,3,1,1,2,1,0,4
Arin Wright,Stephanie McCaffrey,1,2,12,2,0,0,1,4
Ali Krieger,Tori Huster,1,2,8,2,6,1,0,4
Mallory Weber,Victoria Pickett,1,2,2,2,2,1,0,4
Mariana Larroquette,Taylor Leach,1,2,1,2,0,0,1,4
Évelyne Viens,Domi Richardson,1,2,3,2,1,0,1,4
Yazmeen Ryan,Madison Pogarch,1,3,5,0,3,1,0,3
Julie King,Eunice Beckmann,1,3,1,0,1,1,0,3
Thembi Kgatlana,Haley Hanson,1,2,3,1,3,1,0,3
Alex Chidiac,Jaelin Howell,1,2,0,1,2,1,0,3
Ali Riley,Jun Endo,1,2,3,1,4,1,0,3
Kate Bowen,Elizabeth Ball,1,2,5,1,1,0,1,3
Claire Marie Annie Lavogez,Elizabeth Ball,1,2,1,1,1,1,0,3
Danica Evans,Joanna Boyles,1,2,1,1,2,1,0,3
Gaëtane Iza Laure Thiney,Caprice Dydasco,1,2,0,1,7,1,0,3
Erica Skroski,Taylor Lytle,1,2,0,1,9,1,0,3
Kate Bowen,Christina Gibbons,1,2,5,1,3,1,0,3
Mallory Weber,Ashleigh Sykes,1,2,2,1,1,1,0,3
Brianna Pinto,Carson Pickett,1,2,2,1,16,1,0,3
Kumi Yokoyama,Dorian Bailey,1,2,0,1,1,1,0,3
Mikayla Cluff,Jordyn Listro,1,2,0,0,1,1,0,2
Belle Briede,Marleen Schimmer,1,2,1,0,2,1,0,2
Thembi Kgatlana,Allysha Chapman,1,2,3,0,2,1,0,2
Jordyn Huitema,Quinn,1,2,2,0,1,1,0,2
Kaleigh Riehl,Kelsey Turnbow,1,2,0,0,3,1,0,2
Kaleigh Riehl,Marleen Schimmer,1,2,0,0,2,1,0,2
Erica Skroski,Kristin Grubka,1,2,0,0,1,1,0,2
Mariana Larroquette,Jéssica Silva,1,2,1,0,2,1,0,2
Brianna Pinto,Ryan Williams,1,2,2,0,6,1,0,2
Natalia Kuikka,Samantha Grace Coffey,1,1,4,1,2,0,1,2
Angelina,Alana Cook,1,1,3,1,0,0,1,2
Shelina Zadorsky,Whitney Church,1,1,4,1,2,0,1,2
Christen Westphal,Whitney Engen,1,1,6,1,1,1,0,2
Julia Roddar,Taylor Aylmer,1,1,2,1,1,0,1,2
Jun Endo,Vanessa Gilles,1,1,4,1,1,0,1,2
Courtney Petersen,Amy Turner,1,1,4,1,0,0,1,2
Lauren Barnes,Kendall Fletcher,1,1,4,1,0,0,1,2
Lauren Barnes,Olivia Van der Jagt,1,1,4,1,1,0,1,2
Christina Gibbons,Desiree Scott,1,1,3,0,2,1,0,1
Joelle Anderson,Cali Jean Farquharson,1,1,0,0,3,1,0,1
Hannah Betfort,Madison Pogarch,1,1,0,0,3,1,0,1
Brooke Hendrix,Freja Olofsson,1,1,0,0,1,1,0,1
Kimberly Keever,Savannah Jordan,1,1,0,0,1,1,0,1
