slug,id,season
orlando-pride-vs-racing-louisville-fc-2021-07-09,mqotfo298bazuqmleeoij8yc,2021
washington-spirit-vs-north-carolina-courage-2021-07-10,mteehgbhi4yawmk29mtalgr8,2021
portland-thorns-fc-vs-nj-ny-gotham-fc-2021-07-11,mw1m2vmr9kvul7kk3937xwk4,2021
chicago-red-stars-vs-houston-dash-2021-07-11,mykktalwugqc28snto9w06qc,2021
ol-reign-vs-kansas-city-current-2021-07-11,n17rlwy2uhz17w79wii3zfv8,2021
north-carolina-courage-vs-houston-dash-2021-07-17,n42fjmzopskie8a9odp1r4t0,2021
washington-spirit-vs-nj-ny-gotham-fc-2021-07-18,n9incnx0dvcrv2cekjzh0nx0,2021
chicago-red-stars-vs-ol-reign-2021-07-18,nc6uhnywfn24dioxq5sbl7v8,2021
portland-thorns-fc-vs-orlando-pride-2021-07-18,n6x6bkdkzxothcewhe9rnqqc,2021
kansas-city-current-vs-north-carolina-courage-2021-07-23,nerhn638fqkwhuhcvi23vxg4,2021
orlando-pride-vs-ol-reign-2021-07-24,nh8kugd65s67zaen0yui8kyc,2021
houston-dash-vs-portland-thorns-fc-2021-07-24,njqr1x9bibhhy3um8ecxois4,2021
nj-ny-gotham-fc-vs-chicago-red-stars-2021-07-25,nourrwn4yo0sppkugxkgm8t0,2021
racing-louisville-fc-vs-washington-spirit-2021-07-25,nmdwlqivnpvjmaz6xkyi79jo,2021
north-carolina-courage-vs-orlando-pride-2021-07-31,nu7wf6u7f1ydc6n1bgoqioes,2021
ol-reign-vs-racing-louisville-fc-2021-07-31,nrfjkh7vkxjp31w6j6wxn11w,2021
portland-thorns-fc-vs-kansas-city-current-2021-08-01,nyku47dolciiol0mdzm93ml0,2021
chicago-red-stars-vs-washington-spirit-2021-08-01,o14bwtepdjwxr21zxjr4n7kk,2021
houston-dash-vs-nj-ny-gotham-fc-2021-08-01,o3t1mayqulc9w3yckw7060wk,2021
nj-ny-gotham-fc-vs-north-carolina-courage-2021-08-07,oadduaqxlpj2to5sd7ud3s44,2021
washington-spirit-vs-portland-thorns-fc-2021-08-07,odsc1wgt78izvnc17nxvz1n8,2021
ol-reign-vs-houston-dash-2021-08-07,o6oosibl0uunc80y9d6cbor8,2021
racing-louisville-fc-vs-kansas-city-current-2021-08-08,ogwscuzs1foh0u7fpppdqd5g,2021
chicago-red-stars-vs-orlando-pride-2021-08-08,ojog92o6a89eozfqq552u784,2021
houston-dash-vs-washington-spirit-2021-08-13,om9qdlhzvn5lnbcevjhemo7o,2021
orlando-pride-vs-portland-thorns-fc-2021-08-14,oopwxn6vc8l4h2gx2tjgfrpw,2021
kansas-city-current-vs-ol-reign-2021-08-14,orlsghhtu5ti4e3wgx4bh6hg,2021
nj-ny-gotham-fc-vs-racing-louisville-fc-2021-08-15,ouf6knfiphk0s2dss1c1eln8,2021
north-carolina-courage-vs-chicago-red-stars-2021-08-15,oxixzvveg73hhakrd3723n6c,2021
racing-louisville-fc-vs-chicago-red-stars-2021-08-18,p0e6el48aby19nblpkioc5ck,2021
north-carolina-courage-vs-kansas-city-current-2021-08-21,p63kxu3xloeaqw2d8i1ydiqc,2021
ol-reign-vs-nj-ny-gotham-fc-2021-08-21,p32grg449jjbrgg5chj6jc44,2021
washington-spirit-vs-orlando-pride-2021-08-22,p9barheb0lymk4nmvyza1o2c,2021
kansas-city-current-vs-racing-louisville-fc-2021-08-25,pehh9xt25mpp4ht9c10j5a8k,2021
portland-thorns-fc-vs-nj-ny-gotham-fc-2021-08-25,pbswvmoxwwdxzi64yy6wiihg,2021
chicago-red-stars-vs-kansas-city-current-2021-08-28,pj5vpkiv17u02py9v4vhikno,2021
washington-spirit-vs-north-carolina-courage-2021-08-29,poullmojp70y5lz2vo5go8pg,2021
nj-ny-gotham-fc-vs-orlando-pride-2021-08-29,plzgyuf856oz7e7him3r70no,2021
ol-reign-vs-portland-thorns-fc-2021-08-29,pumrj31098bvmtk1p5shri8k,2021
houston-dash-vs-racing-louisville-fc-2021-08-29,pryvvlbv04b8jd9n1l0wxtzo,2021
houston-dash-vs-ol-reign-2021-09-01,pxjhvg2syvep3fpvtf1ojggk,2021
nj-ny-gotham-fc-vs-chicago-red-stars-2021-09-04,q4j4bl369lkloywostx90844,2021
racing-louisville-fc-vs-ol-reign-2021-09-04,q7krw4acmtohc3h99mhvdpn8,2021
