kickoff,season,home_team,away_team,home_team_score,away_team_score,home_penalty_score,away_penalty_score,is_playoff
2016-07-30 20:00:00,2016,CHI,KC,1,0,0,0,False
2016-07-30 20:30:00,2016,HOU,WNY,3,3,0,0,False
2016-07-30 22:50:00,2016,POR,RGN,1,0,0,0,False
2016-07-31 11:00:00,2016,WAS,NJY,3,1,0,0,False
2016-07-31 18:00:00,2016,BOS,ORL,1,0,0,0,False
2016-08-18 20:00:00,2016,HOU,WAS,1,2,0,0,False
2016-08-26 19:30:00,2016,ORL,WAS,1,2,0,0,False
2016-08-27 17:00:00,2016,RGN,POR,3,1,0,0,False
2016-08-27 19:00:00,2016,WNY,HOU,2,2,0,0,False
2016-08-27 19:00:00,2016,NJY,CHI,1,3,0,0,False
2016-08-28 18:00:00,2016,KC,BOS,0,2,0,0,False
2016-08-31 20:00:00,2016,BOS,HOU,1,3,0,0,False
2016-09-03 19:00:00,2016,WAS,WNY,1,1,0,0,False
2016-09-03 20:30:00,2016,HOU,ORL,4,2,0,0,False
2016-09-04 18:00:00,2016,KC,NJY,2,1,0,0,False
2016-09-04 19:00:00,2016,CHI,RGN,2,2,0,0,False
2016-09-04 19:00:00,2016,POR,BOS,5,1,0,0,False
2016-09-07 19:00:00,2016,NJY,ORL,1,1,0,0,False
2016-09-07 19:00:00,2016,BOS,WNY,2,2,0,0,False
2016-09-07 20:00:00,2016,WAS,RGN,2,1,0,0,False
2016-09-07 20:00:00,2016,CHI,KC,2,3,0,0,False
2016-09-07 22:00:00,2016,POR,HOU,3,0,0,0,False
2016-09-10 19:30:00,2016,ORL,NJY,1,2,0,0,False
2016-09-11 18:00:00,2016,KC,CHI,0,0,0,0,False
2016-09-11 19:00:00,2016,HOU,BOS,4,1,0,0,False
2016-09-11 21:30:00,2016,POR,WNY,3,2,0,0,False
2016-09-11 22:00:00,2016,RGN,WAS,2,0,0,0,False
2016-09-24 17:00:00,2016,ORL,KC,1,2,0,0,False
2016-09-24 19:00:00,2016,BOS,WNY,0,4,0,0,False
2016-09-24 20:00:00,2016,CHI,WAS,3,1,0,0,False
2016-09-25 19:00:00,2016,NJY,POR,1,3,0,0,False
2016-09-25 21:30:00,2016,HOU,RGN,2,3,0,0,False
2016-09-30 20:00:00,2016,WAS,CHI,2,1,0,0,True
2016-10-02 17:00:00,2016,POR,WNY,3,4,0,0,True
2016-10-09 17:10:00,2016,WAS,WNY,1,1,2,3,True
2017-04-15 14:00:00,2017,HOU,CHI,2,0,0,0,False
2017-04-15 15:00:00,2017,WAS,NC,0,1,0,0,False
2017-04-15 15:00:00,2017,POR,ORL,2,0,0,0,False
2017-04-15 22:00:00,2017,RGN,NJY,1,1,0,0,False
2017-04-16 18:00:00,2017,KC,BOS,2,0,0,0,False
2017-04-22 16:00:00,2017,CHI,KC,1,0,0,0,False
2017-04-22 16:00:00,2017,ORL,WAS,1,1,0,0,False
2017-04-22 19:30:00,2017,NC,POR,1,0,0,0,False
2017-04-22 22:00:00,2017,RGN,HOU,5,1,0,0,False
2017-04-23 16:00:00,2017,BOS,NJY,1,0,0,0,False
